TRAINID,PROPOSAL_ID,SOURCE,DESTINATION,TRAIN_NUMBER,TRAIN_NAME,ROUTE_TYPE,TRAIN_TYPE,DAY_OF_SERVICES,NO_OF_COACHES,TRAIN_COMPOSITION,REVERSE_TRAIN_NUMBER,FORECOLOR,VALIDFROM,VALIDTO
805000,18463,BBS,SBC,18463,BBS-SBC PRASHANTI EXP,C,MEX,"1,1,1,1,1,1,1",23,"GSLR-1,GSLRD-1,GS-4,WGSCN-11,WGACCW-1,WGACCN-4,WGCB-1",18464,Red,20-Jun-25,31-Dec-99
801911,12845,BBS,SMVB,12845,BBS-SMVB WEEKLY EXPRESS,C,SUF,"0,0,0,0,0,0,1",20,,12846,Red,10-Apr-25,31-Dec-99
801970,22833,BBS,SMVB,22833,BBS-SMVB WEEKLY HUMSAFAR,C,SUF,"0,0,1,0,0,0,0",19,"LWLRRM-2,LWCBAC-1,LWACCN-16",22834,Red,10-Apr-25,31-Dec-99
789286,22879,BBS,TPTY,22879,BBS-TPTY FESTIVAL SPECIAL,C,SUF,"0,0,0,0,0,1,0",20,,22880,Red,01-Jan-25,31-Dec-99
789285,22871,BBS,TPTY,22871,BBS-TPTY S/F,C,SUF,"0,0,0,0,0,0,1",20,,22872,Red,01-Jan-25,31-Dec-99
784481,20841,BBS,VSKP,20841,BBS-VSKP VANDE BHARAT,C,VNDB,"0,1,1,1,1,1,1",8,,20842,Violet,01-Jan-25,31-Dec-99
808841,2811,BBS,YPR,2811,BBS-YPR SPECIAL,C,TOD,"0,0,0,0,0,1,0",18,,2812,Red,13-Sep-25,29-Nov-25
803457,11020,BBSN,CSMT,11020,BBSN-CSMT KONARK EXPRESS,C,MEX,"1,1,1,1,1,1,1",20,,11019,Red,13-May-25,31-Dec-99
803052,17015,BBSN,SC,17015,BBSN-SC VISAKHA EXP,C,MEX,"1,1,1,1,1,1,1",20,,17016,Red,12-May-25,31-Dec-99
803050,22819,BBSN,VSKP,22819,BBSN-VSKP INTERCITY EXP,C,SUF,"1,1,1,1,1,1,1",9,"GSLR-1,GSLRD-1,GS-7",22820,Red,12-May-25,31-Dec-99
793528,18574,BGKT,VSKP,18574,BGKT-VSKP WEEKLY EXP,C,MEX,"0,0,0,0,0,1,0",19,"SLR-2,WGSCN-8,GS-4,WACCN-3,WACCW-1,WGCB-1",18573,Red,11-Jan-25,31-Dec-99
801963,12254,BGP,SMVB,12254,BGP-YPR ANGA EXPRESS,C,SUF,"0,0,1,0,0,0,0",20,,12253,Red,10-Apr-25,31-Dec-99
808015,18447,BBS,JDB,18447,BHUBANESWAR JAGDALPUR SPE,C,MEX,"1,1,1,1,1,1,1",12,,18448,Red,15-Aug-25,31-Dec-99
808953,6056,BJU,PTJ,6056,BJU-PTJ TOD SPL,C,TOD,"0,1,0,0,0,0,0",22,,6055,Red,09-Sep-25,02-Dec-25
807482,18524,BSBS,VSKP,18524,BSBS-VSKP BI-WEEKLY EXP,C,MEX,"1,0,0,1,0,0,0",20,,,Red,04-Aug-25,31-Dec-99
808003,17481,BSP,TPTY,17481,BSP-TPTY  EXP,C,MEX,"0,1,0,0,0,1,0",20,,17482,Red,16-Aug-25,24-Oct-25
809048,17481,BSP,TPTY,17481,BSP-TPTY  EXP,C,MEX,"0,1,0,0,0,1,0",20,,17482,Red,25-Oct-25,31-Dec-99
785901,58503,BWIP,VSKP,58503,BWIP-VSKP PASSENGER,C,PAS,"1,1,1,1,1,1,1",12,,58504,Blue,01-Jan-25,31-Dec-99
809061,6903,CAN,KOAA,6903,CAN-KOAA BGT SPL,C,TRST,"0,0,0,1,0,0,0",14,,,Red,28-Aug-25,28-Aug-25
808289,12666,CAPE,HWH,12666,CAPE HWH SF EXP,C,SUF,"0,0,0,0,0,1,0",20,,12665,Red,23-Aug-25,31-Dec-99
808970,6063,CBE,DHN,6063,CBE-DHN TOD SPL,C,TOD,"0,0,0,0,1,0,0",20,,6064,Red,05-Sep-25,28-Nov-25
805677,12515,CBE,SCL,12515,CBE-SCL EXPRESS,C,SUF,"0,0,0,0,0,0,1",20,,12516,Red,29-Jun-25,31-Dec-99
808965,7216,CHE,BZA,7216,CHE-BZA,C,TOD,"1,1,1,1,1,1,1",24,,7215,Red,22-Oct-25,23-Oct-25
806016,7030,CHZ,AGTL,7030,CHZ -AGTL,C,TOD,"1,0,0,0,0,0,0",24,,7029,Red,14-Jul-25,30-Sep-25
807407,7030,CHZ,AGTL,7030,CHZ -AGTL,C,TOD,"1,0,0,0,0,0,0",24,,7029,Red,01-Oct-25,31-Dec-99
804881,18046,CHZ,SHM,18046,CHZ SHM EAST COAST EXP,C,MEX,"1,1,1,1,1,1,1",20,,18045,Red,17-Jun-25,31-Dec-99
809007,7046,CHZ,NHLN,7046,CHZ-NHLN,C,TOD,"0,0,0,0,0,1,0",24,,7045,Red,30-Aug-25,01-Dec-25
808780,8846,CHZ,SRC,8846,CHZ-SRC WEEKLY PUJA SPL,C,TOD,"0,0,0,0,0,1,0",22,,8845,Red,20-Sep-25,04-Oct-25
803055,11019,CSMT,BBSN,11019,CSMT-BBSN KONARK EXPRESS,C,MEX,"1,1,1,1,1,1,1",20,,11020,Red,11-May-25,31-Dec-99
804317,68433,CTC,GNPR,68433,CTC-GNPR MEMU,C,MEMU,"1,1,1,1,1,1,1",12,,,Blue,01-Jun-25,31-Dec-99
784462,68445,CTC,PSA,68445,CTC-PSA PASSENGER,C,MEMU,"1,1,1,1,1,1,1",8,,,Blue,01-Jan-25,31-Dec-99
789292,22873,DGHA,VSKP,22873,DGHA-VSKP S/F WEEKLY,C,SUF,"0,0,0,0,1,0,0",19,"SLR-2,GS-6,WGSCN-8,WACCN-2,WACCW-1",22874,Red,01-Jan-25,31-Dec-99
808184,13351,DHN,ALLP,13351,DHANBAD - ALLEPY EXPRESS,C,MEX,"1,1,1,1,1,1,1",21,"SLR-2,GS-4,WGSCN-12,WGACCN-2,WGACCW-1,WGCB-1",13352,Red,18-Aug-25,28-Sep-25
808799,13351,DHN,ALLP,13351,DHANBAD - ALLEPY EXPRESS,C,MEX,"1,1,1,1,1,1,1",21,"SLR-2,GS-4,WGSCN-12,WGACCN-2,WGACCW-1,WGCB-1",13352,Red,29-Sep-25,31-Dec-99
808978,6064,DHN,CBE,6064,DHN-CBE TOD SPL,C,TOD,"1,0,0,0,0,0,0",20,,6063,Red,08-Sep-25,01-Dec-25
786129,18529,DURG,VSKP,18529,DURG-VSKP EXPRESS,C,MEX,"1,1,1,1,1,1,1",11,,18530,Red,01-Jan-25,31-Dec-99
783031,20829,DURG,VSKP,20829,DURG-VSKP VANDEBHARAT EXP,C,VNDB,"1,1,1,0,1,1,1",16,,,Violet,01-Jan-25,31-Dec-99
800057,22838,ERS,HTE,22838,ERS HTE DHARTI AABA EXP,C,SUF,"0,0,1,0,0,0,0",16,,22837,Red,12-Mar-25,31-Dec-99
791194,22878,ERS,HWH,22878,ERS-HWH ANTYODAYA EXP,C,SUF,"1,0,0,0,0,0,0",20,,22877,Red,01-Jan-25,31-Dec-99
803751,22643,ERS,PNBE,22643,ERS-PNBE  BI-WKLY SF EXP,C,SUF,"1,1,0,0,0,0,0",20,,22644,Red,17-May-25,31-Aug-25
809103,22643,ERS,PNBE,22643,ERS-PNBE  BI-WKLY SF EXP,C,SUF,"1,1,0,0,0,0,0",20,,22644,Red,01-Sep-25,31-Dec-99
808712,6085,ERS,PNBE,6085,ERS-PNBE TOD SPL,C,TOD,"0,0,0,0,1,0,0",22,,6086,Red,29-Aug-25,28-Nov-25
806465,18190,ERS,TATA,18190,ERS-TATA EXPRESS,C,MEX,"1,1,1,1,1,1,1",21,,18189,Red,10-Aug-25,07-Sep-25
808005,18190,ERS,TATA,18190,ERS-TATA EXPRESS,C,MEX,"1,1,1,1,1,1,1",21,,18189,Red,08-Sep-25,31-Dec-99
808548,22973,GIMB,PURI,22973,GANDHIDHAM - PURI SUF,C,SUF,"0,0,1,0,0,0,0",20,,22974,Red,20-Aug-25,31-Dec-99
802615,12510,GHY,SMVB,12510,GHY-SMVB S/F EXPRESS,C,SUF,"1,1,0,0,0,0,1",20,,12509,Red,27-Apr-25,31-Dec-99
804318,68434,GNPR,CTC,68434,GNPR-CTC MEMU,C,MEMU,"1,1,1,1,1,1,1",12,,,Blue,01-Jun-25,31-Dec-99
804311,18118,GNPR,ROU,18118,GNPR-ROU RAJYARANI EXP,C,MEX,"1,1,1,1,1,1,1",14,,18117,Red,01-Jun-25,31-Dec-99
804320,58505,GNPR,VSKP,58505,GNPR-VSKP PASSENGER,C,PAS,"1,1,1,1,1,1,1",12,,58506,Blue,01-Jun-25,31-Dec-99
788476,17243,GNT,RGDA,17243,GNT-RGDA EXP,C,MEX,"1,1,1,1,1,1,1",20,,17244,Red,01-Jan-25,31-Dec-99
804316,18418,GNPR,PURI,18418,GUNUPUR PURI EXP SPECIAL,C,MEX,"1,1,1,1,1,1,1",8,,18417,Red,01-Jun-25,31-Dec-99
792515,18637,HTE,SMVB,18637,HTE - SMVB EXPRESS,C,MEX,"0,0,0,0,0,1,0",19,,18638,Red,04-Jan-25,31-Dec-99
801908,22837,HTE,ERS,22837,HTE ERS DHARTI AABA EXP,C,SUF,"1,0,0,0,0,0,0",13,,22838,Red,10-Apr-25,31-Dec-99
801910,12835,HTE,SMVB,12835,HTE-SMVB SUF EXPRESS,C,SUF,"0,1,0,0,0,0,1",22,,12836,Red,10-Apr-25,31-Dec-99
802563,12503,SMVB,AGTL,12503,HUMSAFAR EXPRESS,C,SUF,"0,1,0,0,1,0,0",20,,12504,Red,25-Apr-25,31-Dec-99
802566,12504,AGTL,SMVB,12504,HUMSAFAR EXPRESS,C,SUF,"0,1,0,0,0,1,0",20,,12503,Red,26-Apr-25,31-Dec-99
808287,12665,HWH,CAPE,12665,HWH-CAPE  SF EXP,C,SUF,"1,0,0,0,0,0,0",20,,12666,Red,18-Aug-25,31-Dec-99
790247,22877,HWH,ERS,22877,HWH-ERS ANTYODAYA EXPRESS,C,SUF,"0,0,0,0,0,1,0",18,,22878,Red,01-Jan-25,31-Dec-99
809002,12841,HWH,MAS,12841,HWH-MAS COROMONDEL EXP,C,SUF,"1,1,1,1,1,1,1",22,,12842,Red,27-Aug-25,31-Dec-99
790192,12839,HWH,MAS,12839,HWH-MAS MAIL,C,SUF,"1,1,1,1,1,1,1",20,,12840,Red,01-Jan-25,31-Dec-99
802032,22817,HWH,MYS,22817,HWH-MYS SUPERFAST EXPRESS,C,SUF,"0,0,0,0,1,0,0",22,,22818,Red,11-Apr-25,29-Aug-25
809049,22817,HWH,MYS,22817,HWH-MYS SUPERFAST EXPRESS,C,SUF,"0,0,0,0,1,0,0",22,,22818,Red,30-Aug-25,31-Dec-99
790240,12867,HWH,PDY,12867,HWH-PDY SUPERFAST EXPRESS,C,SUF,"0,0,0,0,0,0,1",21,,12868,Red,01-Jan-25,31-Dec-99
794255,12703,HWH,SC,12703,HWH-SC FALAKNUMA,C,SUF,"1,1,1,1,1,1,1",20,,12704,Red,17-Jan-25,31-Dec-99
792960,12245,HWH,SMVB,12245,HWH-SMVB DURANTO EXP,C,DRNT,"0,1,1,0,1,1,1",21,,12246,Red,06-Jan-25,31-Dec-99
